Oct 31 15:31:35 node1 systemd[12098]: mysqld_exporter.service: Failed to execute command: No such file or directory
Oct 31 15:31:35 node1 systemd[12098]: mysqld_exporter.service: Failed at step EXEC spawning /opt/mysqld_exporter/mysqld_exporter: No such file or directory
Oct 31 15:31:35 node1 systemd[1]: mysqld_exporter.service: Main process exited, code=exited, status=203/EXEC
Oct 31 15:31:35 node1 systemd[1]: mysqld_exporter.service: Failed with result 'exit-code'.
Oct 31 15:32:43 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:43.684Z caller=mysqld_exporter.go:277 level=info msg="Starting mysqld_exporter" version="(version=0.14.0, branch=HEAD, revision=ca1b9af82a471c849c529eb8aadb1aac73e7b68c)"
Oct 31 15:32:43 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:43.685Z caller=mysqld_exporter.go:278 level=info msg="Build context" (gogo1.17.8,userroot@401d370ca42e,date20220304-16:25:15)=(MISSING)
Oct 31 15:32:43 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:43.685Z caller=mysqld_exporter.go:293 level=info msg="Scraper enabled" scraper=global_status
Oct 31 15:32:43 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:43.685Z caller=mysqld_exporter.go:293 level=info msg="Scraper enabled" scraper=global_variables
Oct 31 15:32:43 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:43.685Z caller=mysqld_exporter.go:293 level=info msg="Scraper enabled" scraper=slave_status
Oct 31 15:32:43 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:43.685Z caller=mysqld_exporter.go:293 level=info msg="Scraper enabled" scraper=info_schema.innodb_cmp
Oct 31 15:32:43 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:43.685Z caller=mysqld_exporter.go:293 level=info msg="Scraper enabled" scraper=info_schema.innodb_cmpmem
Oct 31 15:32:43 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:43.686Z caller=mysqld_exporter.go:293 level=info msg="Scraper enabled" scraper=info_schema.query_response_time
Oct 31 15:32:43 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:43.688Z caller=mysqld_exporter.go:303 level=info msg="Listening on address" address=:9104
Oct 31 15:32:43 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:43.689Z caller=tls_config.go:195 level=info msg="TLS is disabled." http2=false
Oct 31 15:32:45 node1 mysqld_exporter[12169]: ts=2022-10-31T15:32:45.263Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:33:52 node1 mysqld_exporter[12169]: ts=2022-10-31T15:33:52.572Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:45:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:45:10.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:45:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:45:25.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:45:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:45:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:45:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:45:55.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:46:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:46:10.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:46:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:46:25.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:46:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:46:40.977Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:46:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:46:55.978Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:47:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:47:10.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:47:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:47:25.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:47:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:47:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:47:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:47:55.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
